Name,Team,Url,Type,ValueinCR,Full Name,Born,Age,National Side,Batting Style,Bowling,Sport,MatchPlayed,InningsBatted,NotOuts,RunsScored,HighestInnScore,100s,50s,4s,6s,BattingAVG,BattingS/R,CatchesTaken,StumpingsMade,Ducks,R/O,InningsBowled,Overs,Maidens,RunsConceded,Wickets,Best,3s,5s,BowlingAVG,EconomyRate,S/R,Mtc
Mahipal Lomror,RCB,https://sports.ndtv.com/cricket/players/107234-mahipal-lomror-playerprofile,All-Rounder ,0.95,Mahipal Krishan Lomror,"November 16, 1999 Nagaur, Rajasthan","22 Years, 4 Months, 0 Days",India,Left Handed,Slow left-arm orthodox,IPL,11,10,2,181,47 v RCB,0,0,8,9,22.62,119.86,1,0,0,0,6,10,0,74,1,1/22 v SRH,0,0,74,7.4,60,6
Siddarth Kaul,RCB,https://sports.ndtv.com/cricket/players/1699-siddarth-kaul-playerprofile,Bowler ,0.75,Siddarth Kaul,"May 19, 1990 Pathankot, Punjab","31 Years, 9 Months, 27 Days",India,Right Handed,Right-arm medium,IPL,54,12,8,20,7* v KKR,0,0,1,0,5,55.55,8,0,6,2,54,197.3,3,1696,58,4/29 v RPS,3,0,29.24,8.58,20.43,54
Karn Sharma,RCB,https://sports.ndtv.com/cricket/players/1245-karan-sharma-playerprofile,Bowler ,0.5,Karn Vinod Sharma,"October 23, 1987 Meerut, Uttar Pradesh","34 Years, 4 Months, 24 Days",India,Left Handed,Leg break googly,IPL,68,35,14,317,39* v CSK,0,0,18,14,15.09,115.69,14,0,2,3,66,203.4,1,1610,59,4/16 v KKR,2,0,27.28,7.9,20.71,66
Aneeshwar Gautam,RCB,https://sports.ndtv.com/cricket/players/114974-aneeshwar-gautam-playerprofile,All-Rounder ,0.2,Aneeshwar Gautam Narendra,"January 16, 2003 Bengaluru, Karnataka","19 Years, 2 Months, -1 Days",India,Left Handed,Slow left-arm orthodox,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akash Deep,RCB,https://sports.ndtv.com/cricket/players/113443-akash-deep-playerprofile,Bowler ,0.2,Akash Deep,"December 15, 1996 Dehri, (Rotas), Bihar","25 Years, 3 Months, 0 Days",India,Right Handed,Right-arm medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luvnith Sisodia,RCB,https://sports.ndtv.com/cricket/players/115304-luvnith-sisodia-playerprofile,Wicket-Keeper ,0.2,Luvnith Sujith Sisodia,"January 15, 2000 Bangalore, Karnataka","22 Years, 2 Months, 1 Days",India,Left Handed,Left-arm medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rohit Sharma,MI,https://sports.ndtv.com/cricket/players/857-rohit-sharma-playerprofile,Batsman ,16,Rohit Gurunath Sharma,"April 30, 1987 Bansod, Nagpur, Maharashtra","34 Years, 10 Months, 16 Days",India,Right Handed,Off break,IPL,213,208,28,5611,109* v KKR,1,40,491,227,31.17,130.39,90,0,13,11,32,56.3,0,453,15,4/6 v MI,1,0,30.2,8.01,22.6,32
Jasprit Bumrah,MI,https://sports.ndtv.com/cricket/players/1724-jasprit-bumrah-playerprofile,Bowler ,12,Jasprit Jasbirsingh Bumrah,"December 6, 1993 Ahmedabad","28 Years, 3 Months, 9 Days",India,Right Handed,Right-arm fast,IPL,106,20,15,56,16* v RPS,0,0,4,1,11.2,96.55,13,0,7,1,106,403.4,5,2997,130,4/14 v DC,14,0,23.05,7.42,18.63,106
Jofra Archer,MI,https://sports.ndtv.com/cricket/players/64664-jofra-archer-playerprofile,All-Rounder ,8,Jofra Chioke Archer,"April 1, 1995 Bridgetown, Barbados","26 Years, 11 Months, 15 Days",England,Right Handed,Right-arm fast,IPL,35,23,10,195,27* v CSK,0,0,11,14,15,157.25,9,0,5,1,35,137.3,2,981,46,3/15 v PBKS,6,0,21.32,7.13,17.93,35
Kieron Pollard,MI,https://sports.ndtv.com/cricket/players/907-kieron-pollard-playerprofile,All-Rounder ,6,Kieron Adrian Pollard,"May 12, 1987 Tacarigua, Trinidad","34 Years, 10 Months, 4 Days",West Indies,Right Handed,Right-arm medium,IPL,178,160,51,3268,87* v CSK,0,16,212,214,29.98,149.77,96,0,8,4,101,234,0,2055,65,4/44 v RR,2,0,31.61,8.78,21.6,101
Daniel Sams,MI,https://sports.ndtv.com/cricket/players/113155-daniel-sams-playerprofile,All-Rounder ,2.6,Daniel Richard Sams,"October 27, 1992 Milperra, New South Wales","29 Years, 4 Months, 19 Days",Australia,Right Handed,Left-arm fast medium,IPL,5,3,1,6,3* v DC,0,0,0,0,3,75,3,0,1,0,5,18,0,153,1,1/24 v PBKS,0,0,153,8.5,108,5
Murugan Ashwin,MI,https://sports.ndtv.com/cricket/players/63773-murugan-ashwin-playerprofile,Bowler ,1.6,Murugan Ashwin,"September 8, 1990 Chennai, Tamil Nadu","31 Years, 6 Months, 7 Days",India,Right Handed,Leg break googly,IPL,34,8,2,23,9 v SRH,0,0,1,0,3.83,63.88,7,0,1,1,34,112,0,881,26,3/21 v RCB,2,0,33.88,7.86,25.84,34
Tymal Mills,MI,https://sports.ndtv.com/cricket/players/51462-tymal-solomon-mills-playerprofile,Bowler ,1.5,Tymal Solomon Mills,"August 12, 1992 Dewsbury, Yorkshire","29 Years, 7 Months, 3 Days",England,Right Handed,Left-arm fast,IPL,5,3,0,8,6 v SRH,0,0,0,1,2.66,72.72,1,0,1,0,5,17.5,0,153,5,2/31 v KKR,0,0,30.6,8.57,21.4,5
Jaydev Unadkat,MI,https://sports.ndtv.com/cricket/players/1298-jaydev-unadkat-playerprofile,Bowler ,1.3,Jaydev Dipakbhai Unadkat,"October 18, 1991 Porbandar","30 Years, 4 Months, 29 Days",India,Right Handed,Left-arm medium,IPL,86,21,12,105,26 v KKR,0,0,9,3,11.66,109.37,24,0,8,1,85,296,3,2588,85,5/25 v DC,5,2,30.44,8.74,20.89,85
